Moisture (%), Temperature (C), Humidity (%)
37.06, 20.3, 51.55
37.35, 20.3, 51.58
37.35, 20.32, 51.56
37.21, 20.32, 51.54
37.35, 20.33, 51.53
37.35, 20.32, 51.52
37.35, 20.34, 51.52
37.79, 20.33, 51.46
37.35, 20.34, 51.51
37.94, 20.34, 51.57
12.35, 20.36, 51.61
0.44, 20.35, 51.65
0.44, 20.38, 51.63
0.44, 20.39, 51.6
0.44, 20.42, 51.64
0.44, 20.41, 51.96
0.59, 20.45, 52.58
0.74, 20.48, 52.37
0.59, 20.49, 52.23
0.74, 20.48, 52.12
1.62, 20.48, 52.03
1.03, 20.5, 51.54
0.88, 20.49, 51.48
0.88, 20.5, 51.4
1.03, 20.52, 51.34
1.91, 20.52, 51.28
0.44, 20.51, 51.15
0.74, 20.53, 51.26
1.03, 20.54, 51.27
0.88, 20.55, 51.32
1.03, 20.54, 51.32
1.03, 20.54, 51.26
14.85, 20.55, 51.27
24.85, 20.56, 51.23
22.65, 20.56, 51.21
22.35, 20.54, 51.15
22.35, 20.55, 51.19
22.35, 20.56, 51.16
22.35, 20.57, 51.19
22.35, 20.56, 51.2
22.35, 20.57, 51.16
22.35, 20.56, 51.19
22.35, 20.56, 51.16
22.35, 20.56, 51.19
22.35, 20.57, 51.17
22.35, 20.56, 51.18
22.35, 20.58, 51.2
